0,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638
'Tal1',3,3,12,17,20,4,13,10,11,6,1,10,24,0,9,12,1,8,11,11,0,6,1,32,14,14,8,23,17,24,25,12,8,0,7,23,22,9,0,1,18,13,0,7,0,7,17,10,4,22,21,15,4,1,1,12,8,22,8,11,15,6,11,19,4,2,11,11,2,1,3,16,19,11,0,5,5,3,21,13,3,33,6,24,23,25,2,12,9,9,5,11,5,5,10,5,17,32,22,13,15,14,6,16,4,18,8,2,6,15,21,4,10,16,18,19,11,20,12,14,18,19,11,14,12,25,12,9,32,19,8,5,0,13,9,4,19,0,16,33,21,2,11,16,13,11,17,8,5,3,9,12,13,12,19,26,9,8,22,6,0,1,0,13,32,0,12,3,4,7,12,3,0,0,9,12,9,12,12,5,11,6,3,2,0,7,16,5,10,0,14,0,5,2,3,9,17,6,11,9,3,18,5,13,16,0,10,8,17,10,25,14,10,7,4,11,8,26,6,18,18,21,4,6,6,14,5,2,26,14,23,14,11,26,3,14,2,4,17,32,3,19,1,26,1,25,7,13,8,12,32,0,4,13,12,4,1
'Dmbx1',11,9,3,1,4,11,0,10,4,0,8,6,9,6,1,23,3,6,7,33,2,9,6,12,8,8,4,8,9,9,12,14,11,0,6,12,9,12,4,6,6,13,0,5,4,1,0,7,10,7,2,7,10,9,4,10,3,8,8,6,12,12,2,3,3,6,6,22,3,8,3,7,4,15,17,4,0,9,17,23,10,13,5,7,22,15,9,7,12,3,10,7,8,2,6,10,8,8,20,0,6,14,18,2,0,9,8,0,10,22,14,10,28,8,14,12,10,13,9,10,3,10,11,9,8,16,20,15,11,14,0,8,18,6,13,19,9,0,7,29,11,11,15,32,11,7,9,2,9,4,10,15,15,6,10,4,8,1,9,17,0,10,0,3,24,0,8,11,17,16,6,7,3,2,7,5,17,9,7,5,11,0,4,2,0,12,1,9,6,16,3,0,8,3,3,13,12,19,3,14,12,12,2,3,2,3,1,7,27,4,7,6,10,18,2,1,7,23,16,6,7,11,6,1,6,7,0,10,15,17,12,5,17,8,7,9,3,1,3,23,7,3,0,6,10,10,9,8,15,23,10,0,7,4,13,8,0
'Emx2',13,14,1,2,9,14,2,2,9,0,13,4,2,0,4,14,4,11,5,9,2,18,0,12,9,21,23,15,20,10,24,15,3,11,12,27,11,26,4,0,18,15,5,0,0,0,11,2,3,17,5,7,1,0,1,20,20,16,8,17,11,13,5,23,14,15,20,15,14,10,0,10,9,12,14,7,15,2,21,9,8,29,18,18,44,17,25,20,14,7,31,17,6,28,12,18,10,19,7,1,23,14,13,8,20,14,5,5,16,23,17,13,18,6,15,22,9,22,9,23,0,18,1,9,23,12,24,11,13,26,19,11,20,6,4,24,11,6,12,31,20,10,19,28,13,19,15,11,4,2,5,8,27,22,19,20,14,21,6,12,0,0,0,8,6,0,14,4,14,14,12,16,0,0,8,0,9,9,2,4,15,4,0,2,0,12,15,19,10,6,9,0,6,2,8,15,11,28,12,20,9,14,6,8,8,0,5,6,10,21,26,13,11,27,25,10,2,1,10,9,23,2,6,14,21,2,6,8,11,20,22,5,8,15,9,16,7,2,19,22,8,9,4,8,3,10,6,10,15,12,18,0,9,9,4,3,0
'Uncx',5,21,0,3,5,4,14,6,15,4,9,4,1,1,5,14,2,3,10,7,7,5,0,8,21,16,18,11,9,19,5,9,3,4,3,30,6,9,2,6,4,9,0,1,0,0,12,8,4,5,6,4,2,3,0,16,14,5,20,9,5,11,23,17,14,6,10,5,12,0,0,19,7,8,23,12,5,4,5,18,23,37,17,23,40,25,7,15,13,15,6,10,1,8,13,9,7,33,18,7,15,28,28,19,16,14,0,0,9,22,22,4,17,18,16,13,30,14,4,16,3,11,13,7,17,35,14,9,26,3,5,14,12,7,9,12,12,6,20,23,18,7,9,14,10,13,15,14,20,6,15,18,15,18,7,30,21,26,13,7,0,9,0,1,10,3,12,16,32,12,11,6,4,0,4,15,9,14,7,4,31,2,0,0,4,7,6,10,15,4,12,4,1,1,0,0,9,24,23,21,11,2,9,7,12,1,3,9,21,6,21,7,20,11,17,1,13,14,11,13,8,13,3,31,12,3,0,11,11,13,15,7,10,24,13,5,2,7,5,25,5,2,0,22,1,23,9,22,17,41,24,1,0,0,7,8,2
'Paxip1',15,9,8,10,13,3,9,8,22,7,6,10,7,0,8,16,9,8,10,22,1,5,0,13,18,16,16,24,22,17,21,20,0,2,7,37,26,14,4,4,22,20,0,5,0,8,25,8,5,12,6,7,9,1,0,9,23,33,6,27,12,27,14,18,17,5,9,18,9,0,0,12,12,18,17,5,2,4,9,15,9,30,19,25,22,11,12,3,30,16,23,10,6,9,11,13,26,28,27,16,30,32,19,5,19,7,20,0,20,38,30,14,31,31,55,23,30,26,9,26,0,10,11,9,19,45,36,8,26,16,3,17,3,10,23,23,32,0,8,37,24,6,17,19,6,26,33,15,13,4,6,20,22,17,14,18,14,13,21,15,0,1,0,26,28,6,4,15,20,12,20,12,0,4,2,12,20,24,6,11,33,0,0,9,6,6,2,36,26,0,18,0,7,3,3,13,26,6,29,18,14,14,17,1,12,2,10,14,21,4,17,15,13,8,21,1,3,36,25,31,19,7,24,24,14,5,13,22,21,19,40,38,14,21,17,8,2,5,20,53,5,15,1,24,2,21,13,34,25,28,14,5,12,33,32,1,10
'Ctnnb1',51,20,33,58,67,45,18,46,27,11,43,51,37,23,42,47,19,34,18,40,32,47,7,39,36,55,35,49,85,49,30,45,24,21,21,107,72,55,7,10,45,32,19,21,0,12,54,61,33,20,13,26,31,13,25,54,12,43,57,44,64,21,46,83,51,36,40,73,39,9,4,61,15,30,38,29,22,5,30,57,45,34,49,48,102,80,32,35,76,51,34,63,41,25,46,30,28,45,42,57,25,63,61,40,88,52,43,15,60,36,49,40,19,19,27,28,36,62,53,47,0,79,20,32,66,83,94,27,71,68,24,35,22,23,38,58,50,34,42,112,90,8,41,58,62,33,70,37,19,18,27,50,37,70,27,110,74,46,79,53,4,9,2,36,73,4,21,32,47,31,40,72,12,5,10,39,46,42,42,30,45,20,0,36,3,12,36,45,34,19,33,0,37,31,35,34,37,74,40,65,30,79,24,32,30,22,19,20,67,28,99,58,62,15,33,11,33,71,42,67,44,18,50,5,28,15,0,36,43,51,36,65,45,29,20,27,5,21,53,90,11,30,26,35,21,29,15,62,69,72,69,11,11,30,46,24,2
'Prdm1',20,9,13,3,17,4,3,14,11,8,6,3,1,7,8,6,4,3,10,19,13,10,2,7,5,24,5,28,14,30,33,21,6,16,14,24,14,8,5,0,8,21,5,2,2,16,16,1,8,12,1,3,6,0,2,6,21,8,17,18,19,7,10,21,4,0,10,15,13,4,1,9,1,7,7,8,10,6,9,23,14,30,23,31,8,18,7,15,15,18,3,15,7,16,12,26,11,17,21,13,25,38,19,6,21,20,7,0,22,2,14,14,15,9,29,19,21,13,4,15,1,12,4,8,9,15,6,11,4,10,10,18,3,13,8,25,22,2,17,20,10,6,15,21,10,17,11,5,12,4,9,21,20,1,10,24,24,14,8,9,3,0,0,21,18,0,16,5,8,27,22,12,0,7,6,8,6,13,12,8,25,0,6,3,1,5,10,16,16,5,6,0,18,16,1,9,8,7,21,12,5,0,10,4,18,0,0,11,14,16,6,1,10,9,15,8,10,16,16,27,19,7,16,10,14,7,0,7,15,25,20,8,17,17,5,1,6,0,15,24,5,5,1,28,9,14,13,5,22,16,23,10,0,9,2,6,0
'Rybp',18,3,7,13,18,3,2,11,8,7,11,21,4,8,16,18,12,15,11,35,6,20,3,4,25,28,5,17,32,29,8,31,7,5,10,45,28,18,1,1,28,13,0,5,0,5,30,9,3,6,11,6,15,5,4,6,20,14,30,25,36,11,19,17,16,9,28,29,25,6,0,11,9,21,25,6,20,7,9,26,7,33,21,38,45,32,11,6,37,3,13,16,5,1,7,17,17,22,28,6,28,24,26,19,24,30,13,0,35,18,32,4,24,21,21,28,23,23,29,32,3,9,9,12,36,33,25,14,41,28,4,12,2,13,14,27,16,5,4,33,36,8,8,26,8,22,26,24,17,8,9,32,25,37,8,29,19,8,11,17,1,0,0,18,34,2,8,22,20,15,21,29,2,1,20,23,24,24,10,9,24,2,0,11,4,6,14,24,11,8,13,2,7,6,7,18,19,12,35,25,21,20,10,5,15,4,14,27,33,3,27,16,19,14,14,3,8,44,22,19,24,4,13,2,30,12,0,10,20,20,20,25,33,31,12,2,7,7,29,55,5,15,5,25,2,25,8,23,24,14,33,0,0,9,15,12,5
'Nfkb2',8,4,12,20,26,1,9,10,6,3,5,21,4,8,7,8,16,2,3,13,7,3,7,0,6,9,3,11,15,10,17,13,9,9,2,17,15,9,7,0,16,13,4,1,1,2,10,4,14,7,3,2,5,3,8,10,13,23,17,2,11,13,12,17,9,3,14,11,21,4,0,10,2,13,16,4,0,6,26,16,21,16,15,21,10,9,3,1,16,9,15,17,9,9,8,12,22,11,18,8,15,16,9,16,10,7,1,0,16,18,16,3,19,19,9,26,10,6,1,10,5,12,6,21,3,6,22,5,16,10,8,3,3,10,9,5,18,1,6,17,17,6,1,9,21,14,35,10,5,8,13,15,17,12,6,23,16,20,15,9,0,5,0,16,10,6,10,14,10,14,8,15,0,5,8,7,18,15,2,13,0,5,1,15,2,7,7,13,7,10,10,0,2,1,10,21,7,10,8,4,3,10,5,3,11,0,4,8,12,16,18,3,17,8,0,8,3,43,13,15,20,2,2,13,10,9,0,16,11,26,17,23,6,18,7,0,3,6,4,20,8,17,4,8,12,23,11,14,10,12,19,8,4,8,6,1,2
