,x,y,z,field,total_count
1382,686,352,1,43,3408
1383,488,572,1,43,2191
1384,178,624,1,43,2626
1385,614,698,1,43,3015
1386,516,726,1,43,3488
1387,293,96,2,43,2468
1388,384,154,2,43,1693
1389,344,172,2,43,2027
1390,241,198,2,43,1916
1391,308,208,2,43,1080
1392,204,225,2,43,2336
1393,452,253,2,43,2678
1394,564,265,2,43,2071
1395,528,276,2,43,1344
1396,160,314,2,43,2265
1397,442,316,2,43,3151
1398,240,337,2,43,2114
1399,473,360,2,43,2241
1400,754,393,2,43,2373
1401,364,622,2,43,4618
1402,312,686,2,43,1664
1403,584,976,2,43,2047
1404,849,997,2,43,1051
1405,465,1002,2,43,2889
1406,701,308,3,43,3358
1407,774,356,3,43,3490
1408,720,389,3,43,3271
1409,621,494,3,43,3702
1410,312,534,3,43,4705
1411,265,561,3,43,3649
1412,172,569,3,43,3713
1413,549,836,3,43,4780
1414,686,925,3,43,1617
1415,446,52,4,43,1833
1416,94,157,4,43,1603
1417,420,585,4,43,6459
1418,218,668,4,43,4822
1419,777,677,4,43,4550
1420,181,684,4,43,1628
1421,160,706,4,43,1052
1422,661,808,4,43,3422
1423,481,842,4,43,3458
1424,338,2,5,43,1055
1425,201,4,5,43,1025
1426,88,5,5,43,355
1427,119,341,5,43,1022
1428,525,362,5,43,4039
1429,89,446,5,43,1952
1430,40,472,5,43,1699
1431,409,674,5,43,3064
1432,693,805,5,43,2179
1433,908,882,5,43,2094
1434,449,925,5,43,3031
1435,920,950,5,43,680
1436,44,45,6,43,982
1437,114,253,6,43,2390
1438,348,382,6,43,3343
1439,261,520,6,43,4337
1440,780,550,6,43,3244
1441,818,604,6,43,4150
1442,940,604,6,43,4420
1443,485,614,6,43,3010
1444,468,669,6,43,4531
1445,956,704,6,43,3732
1446,886,716,6,43,3485
1447,357,718,6,43,1403
1448,552,770,6,43,4279
1449,868,794,6,43,4010
1450,873,830,6,43,3197
1451,992,904,6,43,912
1452,968,1005,6,43,421
1453,340,77,7,43,3895
1454,192,196,7,43,2550
1455,833,458,7,43,2711
1456,904,642,7,43,3878
1457,602,737,7,43,2057
1458,894,929,7,43,1738
1459,290,6,8,43,1844
1460,144,124,8,43,3537
1461,397,125,8,43,4265
1462,840,401,8,43,2811
1463,396,482,8,43,5700
1464,660,501,8,43,4107
1465,626,558,8,43,5160
1466,660,634,8,43,6015
1467,742,713,8,43,4603
1468,356,845,8,43,3249
1469,432,870,8,43,3381
1470,638,877,8,43,4559
1471,813,888,8,43,3065
1472,713,970,8,43,4082
1473,546,981,8,43,3895
1474,229,32,9,43,2118
1475,409,49,9,43,2545
1476,138,62,9,43,2178
1477,390,241,9,43,4155
1478,404,389,9,43,2961
1479,281,393,9,43,5249
1480,544,425,9,43,4826
1481,160,432,9,43,2740
1482,405,432,9,43,4222
1483,480,476,9,43,5342
1484,821,646,9,43,4432
1485,340,654,9,43,2967
1486,454,785,9,43,5016
1487,521,801,9,43,3184
1488,724,809,9,43,2238
1489,1020,878,9,43,474
1490,577,916,9,43,5107
1491,628,189,10,43,5849
